datetime,Average Tone,entity
2017-01-01 00:00:00+00:00,-3.3242,Putin
2017-01-02 00:00:00+00:00,-2.8387,Putin
2017-01-03 00:00:00+00:00,-2.3042,Putin
2017-01-04 00:00:00+00:00,-1.9006,Putin
2017-01-05 00:00:00+00:00,-2.1784,Putin
2017-01-06 00:00:00+00:00,-1.9199,Putin
2017-01-07 00:00:00+00:00,-1.6975,Putin
2017-01-08 00:00:00+00:00,-1.8654,Putin
2017-01-09 00:00:00+00:00,-2.3338,Putin
2017-01-10 00:00:00+00:00,-2.7119,Putin
2017-01-11 00:00:00+00:00,-2.6763,Putin
2017-01-12 00:00:00+00:00,-2.385,Putin
2017-01-13 00:00:00+00:00,-2.055,Putin
2017-01-14 00:00:00+00:00,-1.8145,Putin
2017-01-15 00:00:00+00:00,-2.1031,Putin
2017-01-16 00:00:00+00:00,-2.2416,Putin
2017-01-17 00:00:00+00:00,-2.2565,Putin
2017-01-18 00:00:00+00:00,-1.8668,Putin
2017-01-19 00:00:00+00:00,-1.6667,Putin
2017-01-20 00:00:00+00:00,-1.7837,Putin
2017-01-21 00:00:00+00:00,-1.8312,Putin
2017-01-22 00:00:00+00:00,-1.7592,Putin
2017-01-23 00:00:00+00:00,-1.7584,Putin
2017-01-24 00:00:00+00:00,-1.6451,Putin
2017-01-25 00:00:00+00:00,-1.8378,Putin
2017-01-26 00:00:00+00:00,-1.3443,Putin
2017-01-27 00:00:00+00:00,-1.8552,Putin
2017-01-28 00:00:00+00:00,-1.84,Putin
2017-01-29 00:00:00+00:00,-1.9504,Putin
2017-01-30 00:00:00+00:00,-2.3182,Putin
2017-01-31 00:00:00+00:00,-3.2216,Putin
2017-02-01 00:00:00+00:00,-2.5756,Putin
2017-02-02 00:00:00+00:00,-2.1938,Putin
2017-02-03 00:00:00+00:00,-2.9988,Putin
2017-02-04 00:00:00+00:00,-2.8939,Putin
2017-02-05 00:00:00+00:00,-2.0891,Putin
2017-02-06 00:00:00+00:00,-2.2357,Putin
2017-02-07 00:00:00+00:00,-2.6533,Putin
2017-02-08 00:00:00+00:00,-3.5339,Putin
2017-02-09 00:00:00+00:00,-3.1763,Putin
2017-02-10 00:00:00+00:00,-2.2444,Putin
2017-02-11 00:00:00+00:00,-2.1723,Putin
2017-02-12 00:00:00+00:00,-1.8761,Putin
2017-02-13 00:00:00+00:00,-1.5666,Putin
2017-02-14 00:00:00+00:00,-2.4545,Putin
2017-02-15 00:00:00+00:00,-2.2117,Putin
2017-02-16 00:00:00+00:00,-2.0784,Putin
2017-02-17 00:00:00+00:00,-2.208,Putin
2017-02-18 00:00:00+00:00,-1.5269,Putin
2017-02-19 00:00:00+00:00,-2.5743,Putin
2017-02-20 00:00:00+00:00,-1.8587,Putin
2017-02-21 00:00:00+00:00,-1.5923,Putin
2017-02-22 00:00:00+00:00,-1.8676,Putin
2017-02-23 00:00:00+00:00,-1.8022,Putin
2017-02-24 00:00:00+00:00,-1.6934,Putin
2017-02-25 00:00:00+00:00,-1.9511,Putin
2017-02-26 00:00:00+00:00,-3.081,Putin
2017-02-27 00:00:00+00:00,-1.699,Putin
2017-02-28 00:00:00+00:00,-1.8898,Putin
2017-03-01 00:00:00+00:00,-1.8177,Putin
2017-03-02 00:00:00+00:00,-1.5949,Putin
2017-03-03 00:00:00+00:00,-1.4943,Putin
2017-03-04 00:00:00+00:00,-1.6695,Putin
2017-03-05 00:00:00+00:00,-1.8674,Putin
2017-03-06 00:00:00+00:00,-1.7447,Putin
2017-03-07 00:00:00+00:00,-1.4924,Putin
2017-03-08 00:00:00+00:00,-1.1069,Putin
2017-03-09 00:00:00+00:00,-1.847,Putin
2017-03-10 00:00:00+00:00,-1.4847,Putin
2017-03-11 00:00:00+00:00,-1.5002,Putin
2017-03-12 00:00:00+00:00,-1.8449,Putin
2017-03-13 00:00:00+00:00,-2.09,Putin
2017-03-14 00:00:00+00:00,-1.8905,Putin
2017-03-15 00:00:00+00:00,-1.4767,Putin
2017-03-16 00:00:00+00:00,-1.8956,Putin
2017-03-17 00:00:00+00:00,-1.5272,Putin
2017-03-18 00:00:00+00:00,-1.693,Putin
2017-03-19 00:00:00+00:00,-1.749,Putin
2017-03-20 00:00:00+00:00,-1.8272,Putin
2017-03-21 00:00:00+00:00,-2.0022,Putin
2017-03-22 00:00:00+00:00,-1.6672,Putin
2017-03-23 00:00:00+00:00,-3.7674,Putin
2017-03-24 00:00:00+00:00,-2.3638,Putin
2017-03-25 00:00:00+00:00,-1.7273,Putin
